State_Name,District_Name,Crop_Year,Season,Crop,Area,Production,Yield
Odisha,BARGARH,2002,Rabi,Other  Rabi pulses,1580.0,1220.0,0.7721518987341772
Odisha,BARGARH,2002,Rabi,Rapeseed &Mustard,463.0,107.4,0.23196544276457884
Odisha,BARGARH,2002,Rabi,Sunflower,150.0,60.0,0.4
Odisha,BARGARH,2002,Rabi,Wheat,255.0,324.1,1.2709803921568628
Odisha,BARGARH,2002,Whole Year,Coriander,340.0,170.0,0.5
Odisha,BARGARH,2002,Whole Year,Dry chillies,3460.0,2910.0,0.8410404624277457
Odisha,BARGARH,2002,Whole Year,Garlic,220.0,690.0,3.1363636363636362
Odisha,BARGARH,2002,Whole Year,Onion,520.0,4330.0,8.326923076923077
Odisha,BARGARH,2002,Whole Year,Potato,300.0,2440.8,8.136000000000001
Odisha,BARGARH,2002,Whole Year,Sugarcane,1794.0,109647.5,61.11900780379041
Odisha,BARGARH,2002,Whole Year,Sweet potato,1590.0,13100.0,8.238993710691824
Odisha,BARGARH,2002,Whole Year,Turmeric,150.0,340.0,2.2666666666666666
Odisha,BARGARH,2003,Kharif,Arhar/Tur,2260.0,1770.0,0.7831858407079646
Odisha,BARGARH,2003,Kharif,Castor seed,10.0,10.0,1.0
Odisha,BARGARH,2003,Kharif,Dry ginger,650.0,1330.0,2.046153846153846
Odisha,BARGARH,2003,Kharif,Groundnut,23041.0,24612.3,1.0681958248339916
Odisha,BARGARH,2003,Kharif,Horse-gram,1349.0,460.0,0.34099332839140106
Odisha,BARGARH,2003,Kharif,Jowar,80.0,50.0,0.625
Odisha,BARGARH,2003,Kharif,Maize,62.0,94.7,1.5274193548387098
Odisha,BARGARH,2003,Kharif,Moong(Green Gram),14663.0,3620.9,0.24694128077473915
Odisha,BARGARH,2003,Kharif,Ragi,2.0,0.3,0.15
Odisha,BARGARH,2003,Kharif,Rice,313000.0,646000.0,2.0638977635782747
Odisha,BARGARH,2003,Kharif,Sesamum,1054.0,184.0,0.174573055028463
Odisha,BARGARH,2003,Kharif,Small millets,60.0,30.0,0.5
Odisha,BARGARH,2003,Kharif,Sunflower,90.0,40.0,0.4444444444444444
Odisha,BARGARH,2003,Kharif,Urad,7088.0,1757.0,0.24788374717832956
Odisha,BARGARH,2003,Rabi,Gram,210.0,90.0,0.42857142857142855
Odisha,BARGARH,2003,Rabi,Other  Rabi pulses,2350.0,1830.0,0.7787234042553192
Odisha,BARGARH,2003,Rabi,Rapeseed &Mustard,738.0,193.4,0.26205962059620597
Odisha,BARGARH,2003,Rabi,Sunflower,150.0,70.0,0.4666666666666667
Odisha,BARGARH,2003,Rabi,Wheat,492.0,723.2,1.469918699186992
Odisha,BARGARH,2003,Whole Year,Coriander,510.0,250.0,0.49019607843137253
Odisha,BARGARH,2003,Whole Year,Dry chillies,2560.0,2200.0,0.859375
Odisha,BARGARH,2003,Whole Year,Garlic,330.0,1040.0,3.1515151515151514
Odisha,BARGARH,2003,Whole Year,Onion,570.0,4730.0,8.298245614035087
Odisha,BARGARH,2003,Whole Year,Potato,469.0,4342.5,9.2590618336887
Odisha,BARGARH,2003,Whole Year,Sugarcane,1319.0,98479.2,74.6620166793025
Odisha,BARGARH,2003,Whole Year,Sweet potato,1570.0,13100.0,8.343949044585987
Odisha,BARGARH,2003,Whole Year,Turmeric,150.0,340.0,2.2666666666666666
Odisha,BARGARH,2004,Autumn,Groundnut,16193.0,14023.1,0.8659976533069845
Odisha,BARGARH,2004,Autumn,Maize,75.0,123.9,1.6520000000000001
Odisha,BARGARH,2004,Autumn,Moong(Green Gram),10677.0,3000.2,0.28099653460709934
Odisha,BARGARH,2004,Autumn,Ragi,2.0,1.1,0.55
Odisha,BARGARH,2004,Autumn,Rice,64000.0,59000.0,0.921875
Odisha,BARGARH,2004,Autumn,Sesamum,264.0,148.1,0.5609848484848484
Odisha,BARGARH,2004,Autumn,Urad,6952.0,2078.6,0.29899309551208286
Odisha,BARGARH,2004,Kharif,Bajra,119.0,52.0,0.4369747899159664
Odisha,BARGARH,2004,Kharif,Castor seed,54.0,20.0,0.37037037037037035
Odisha,BARGARH,2004,Kharif,Dry ginger,669.0,1364.0,2.038863976083707
Odisha,BARGARH,2004,Kharif,Jowar,129.0,75.0,0.5813953488372093
Odisha,BARGARH,2004,Kharif,Small millets,120.0,56.0,0.4666666666666667
Odisha,BARGARH,2004,Rabi,Gram,224.0,97.0,0.4330357142857143
Odisha,BARGARH,2004,Rabi,Other  Rabi pulses,2484.0,1943.0,0.7822061191626409
Odisha,BARGARH,2004,Rabi,Sunflower,383.0,184.0,0.4804177545691906
Odisha,BARGARH,2004,Summer,Groundnut,2616.0,3620.5,1.3839831804281346
Odisha,BARGARH,2004,Summer,Maize,1.0,1.5,1.5
Odisha,BARGARH,2004,Summer,Moong(Green Gram),694.0,243.6,0.3510086455331412
Odisha,BARGARH,2004,Summer,Rice,55000.0,159000.0,2.890909090909091
Odisha,BARGARH,2004,Summer,Sesamum,110.0,39.2,0.3563636363636364
Odisha,BARGARH,2004,Summer,Wheat,198.0,278.3,1.4055555555555557
Odisha,BARGARH,2004,Whole Year,Coriander,532.0,264.0,0.49624060150375937
Odisha,BARGARH,2004,Whole Year,Dry chillies,2397.0,2060.0,0.8594075928243637
Odisha,BARGARH,2004,Whole Year,Garlic,328.0,1029.0,3.1371951219512195
Odisha,BARGARH,2004,Whole Year,Onion,612.0,5095.0,8.32516339869281
Odisha,BARGARH,2004,Whole Year,Sweet potato,1643.0,13715.0,8.347534996956787
Odisha,BARGARH,2004,Whole Year,Turmeric,155.0,351.0,2.264516129032258
Odisha,BARGARH,2004,Winter,Horse-gram,1303.0,398.7,0.30598618572524944
Odisha,BARGARH,2004,Winter,Moong(Green Gram),53.0,11.4,0.21509433962264152
